
16044133	18673	348
16044138	18673	307
16044139	18673	2407
16045047	18674	861
16045048	18674	189
16045049	18674	385
16045054	18674	1351
16045055	18674	1078
16045056	18674	837
16045067	18674	1862
16045068	18674	1634
16045097	18675	84
16045099	18675	173
16045100	18675	1124
16045106	18675	1574
16045110	18675	787
16045112	18675	1552
16045113	18675	1558
16045114	18675	387
16045115	18675	219
16045118	18675	1510
16045119	18675	1596
16046008	18676	86
16046009	18676	1096
16046010	18676	512
16046012	18676	2430
16046013	18676	2543
16046014	18676	2849
16046016	18676	532
16046019	18676	3122
16046020	18676	3192
16046035	18677	909
16046036	18677	1504
16046037	18677	1341
16046039	18677	608
16046042	18677	553
16046046	18677	1204
16046048	18677	1505
16046049	18677	1489
16046058	18677	1148
16046059	18677	1510
16046062	18677	566
16046064	18677	76
16046065	18677	89
16046066	18677	731
16046075	18677	1425
16046078	18677	129
16046080	18677	1673
16046081	18677	1512
16046082	18677	925
16047124	18683	1505
16047125	18683	1504
16047138	18683	1500
16048001	18683	1490
16048002	18683	2042
16048015	18684	1103
16048019	18684	954
16048024	18684	2000
16048028	18684	1869
16048111	18686	1403
16048115	18686	338
16048116	18686	454
16048117	18686	756
16048119	18686	542
16048120	18686	1945
16048121	18686	1824
16048122	18686	1541
16048125	18686	977
16048126	18686	470
16048127	18686	1930
16048128	18686	714
16049013	18687	1045
16049017	18687	1999
16049018	18687	1020
16049020	18687	2031
16049022	18687	1044
16049023	18687	824
16049024	18687	1052
16049025	18687	1065
16050038	18692	167
16050039	18692	314
16050041	18692	352
16050042	18692	238
16050048	18692	292
16050049	18692	535
16050050	18692	82
16050051	18692	135
16050052	18692	1807
16050054	18692	1587
16050066	18692	1806
16050070	18692	301
16050072	18692	1452
16050076	18692	586
16051001	18692	911
16051003	18692	598
16051007	18692	1685
16051008	18692	1793
16051030	18694	228
16051031	18694	426
16051033	18694	500
16051034	18694	191
16051037	18694	916
16051038	18694	508
16051039	18694	1207
16051041	18694	1015
16051044	18694	479
16051045	18694	1442
16051048	18694	1447
16051052	18694	855
16051056	18694	1675
16051057	18694	1478
16051058	18694	914
16051060	18694	826
16051103	18696	1916
16051104	18696	295
16051106	18696	161
16051107	18696	626
16051110	18696	378
16051111	18696	266
16052015	18697	1538
16052017	18697	851
16052018	18697	1401
16052019	18697	1423
16052028	18697	1282
16052030	18697	639
16052031	18697	1693
16052038	18697	854
16052044	18697	1660
16052049	18697	1638
16052050	18697	496
16052051	18697	266
16053001	18698	167
16053002	18698	1858
16053003	18698	1896
16053005	18698	272
16053006	18698	1778
16053008	18698	1428
16053009	18698	1825
16053010	18698	1824
16053011	18698	696
16053012	18698	1432
16053017	18698	435
16053019	18698	664
16053030	18698	675
16053031	18698	806
16053043	18701	1872
16053044	18701	478
16053051	18701	381
16053052	18701	1556
16053053	18701	327
16053054	18701	1508
16053055	18701	933
16053056	18701	1614
16053057	18701	782
16053058	18701	433
16053062	18701	838
16053063	18701	1636
16053064	18701	1803
16053065	18701	2002
16053066	18701	1803
16053067	18701	624
16053075	18702	1762
16053079	18702	1809
16054001	18702	735
16054010	18702	1821
16054011	18702	1220
16054013	18702	1851
16054014	18702	1345
16054019	18702	1822
16054020	18702	1412
16054061	18706	240
16054062	18706	569
16054063	18706	1393
16054064	18706	724
16054070	18706	1581
16054072	18706	849
16054078	18706	1809
16054080	18706	2085
16054082	18706	3075
16055003	18707	1849
16055005	18707	1354
16055007	18707	2017
16055010	18707	2738
16055011	18707	2735
16055012	18707	2703
16055013	18707	1646
16055121	18709	2620
16055122	18709	1572
16055123	18709	2503
16055124	18709	170
16055125	18709	1529
16055128	18709	2355
16055129	18709	2878
16055130	18709	3372
16055131	18709	2243
16055132	18709	369
16055133	18709	2317
16055134	18709	1571
16056018	18710	2421
16056019	18710	1619
16056022	18710	2845
16056023	18710	2058
16057003	18715	2860
16057004	18715	2368
16057005	18715	2317
16057006	18715	802
16057007	18715	1025
16057009	18715	2151
16057010	18715	1078
16057011	18715	472
16057012	18715	3015
16057016	18715	1831
16057017	18715	1852
16057018	18715	1435
16057047	18718	505
16057048	18718	1222
16057050	18718	1821
16057051	18718	1158
16057053	18718	526
16058005	18719	579
16058006	18719	2834
16058015	18719	2629
16058017	18719	2414
16058018	18719	2059
16058019	18719	1966
16058020	18719	671
16058021	18719	2246
16058022	18719	2050
16058023	18719	1829
16058024	18719	632
16058026	18719	1634
16058082	18721	1435
16058083	18721	48
16058086	18721	1192
16058087	18721	1237
16058088	18721	1260
16058090	18721	1230
16058091	18721	1368
16058093	18721	1217
16058095	18721	1235
16058096	18721	1201
16058100	18721	302
16059017	18723	2016
16059018	18723	1565
16059019	18723	2065
16059022	18723	2048
16059023	18723	1967
16059024	18723	2056
16059025	18723	1856
16059026	18723	985
16059030	18723	2056
16059031	18723	2031
16059041	18723	423
16059064	18726	976
16059065	18726	861
16059066	18726	656
16059067	18726	2122
16059068	18726	1064
16060002	18726	1387
16060003	18726	2122
16060005	18726	2950
16060028	18727	227
16060031	18727	993
16060032	18727	479
16060037	18727	2149
16060038	18727	2116
16060039	18727	1798
16060040	18727	1845
16060041	18727	422
16060042	18727	788
